Reference, Quantity, Value, Footprint, Datasheet, Distributor, Distributor PN, Distributor link, Manufacturer, Manufacturer PN
J10 J11 J12 J9 ,4,"Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.mouser.es/datasheet/2/18/68000-1266375.pdf","Mouser","649-68001-402HLF","https://www.mouser.es/ProductDetail/Amphenol-FCI/68001-402HLF?qs=sGAEpiMZZMs%252BGHln7q6pm24n0txessAMsVeW4psgO%2F4%3D","Amphenol FCI","68001-402HLF"
LOGO1 ,1,"Logo_Open_Hardware_Small","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen","~"
LOGO2 ,1,"Logo_Open_Hardware_Small","BEElib:bee_logo2","~"
LOGO3 ,1,"Logo_Open_Hardware_Small","BEElib:UCMLogo_169_169","~"
R10 R14 ,2,"15k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/427/crcwce3-1223726.pdf","Mouser","71-CRCW080515K0FKEAC","https://www.mouser.es/ProductDetail/Vishay-Dale/CRCW080515K0FKEAC?qs=sGAEpiMZZMu61qfTUdNhG9bvwnXh9sSrkRO0gsOXAP1kOZ65vEhlJg%3D%3D","Vishay / Dale","CRCW080515K0FKEAC"
R11 R15 ,2,"47k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/427/crcwce3-1223726.pdf","Mouser","71-CRCW080547K0FKEAC","https://www.mouser.es/ProductDetail/Vishay-Dale/CRCW080547K0FKEAC?qs=sGAEpiMZZMu61qfTUdNhG9bvwnXh9sSr43U41rWcj5EV2KsKY7Ceyw%3D%3D","Vishay / Dale","CRCW080547K0FKEAC"
R1 R12 R2 R3 R8 ,5,"220","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/427/crcwce3-1223726.pdf","Mouser"," 71-CRCW0805220RFKEAC ","https://www.mouser.es/ProductDetail/Vishay-Dale/CRCW0805220RFKEAC?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJWok%252BUhooQBI8%3D","Vishay / Dale ","CRCW0805220RFKEAC "
R13 R4 R5 R6 R9 ,5,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/427/crcwce3-1223726.pdf","Mouser","71-CRCW080510K0FKEAC","https://www.mouser.es/ProductDetail/Vishay-Dale/CRCW080510K0FKEAC?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJWcT48uZO055s%3D","Vishay / Dale ","CRCW080510K0FKEAC"
R7 ,1,"0","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.es/datasheet/2/447/PYu-AC_51_RoHS_L_7-1714230.pdf","Mouser"," 603-AC0805FR-070RL","https://www.mouser.es/ProductDetail/Yageo/AC0805FR-070RL?qs=ygRr%2FtkhteskusLKLf%2FBRw%3D%3D","Yageo","AC0805FR-070RL"
SW1 SW2 SW3 ,3,"SW_Push","BEElib:Push Button","https://www.mouser.es/datasheet/2/140/P090002-267756.pdf","Mouser","612-LL3301NF065QG ","https://www.mouser.es/ProductDetail/E-Switch/LL3301NF065QG?qs=QtyuwXswaQiWhwgY68YTTw%3D%3D","E-Switch","LL3301NF065QG "
U1 ,1,"MCP3008","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21295d.pdf","Mouser","579-MCP3008T-I/SL ","https://www.mouser.es/ProductDetail/Microchip-Technology/MCP3008T-I-SL?qs=sGAEpiMZZMsUzhEcHltCuaTtDydhnt4s","Microchip Technologies","MCP3008T-I/S"
U2 ,1,"MCP4911","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22248a.pdf","Mouser","579-MCP4911-E/SN","https://www.mouser.es/ProductDetail/Microchip-Technology/MCP4911-E-SN?qs=sGAEpiMZZMswix2y39yldX1d8KpQmwEZzyPncNF6qIU%3D","Microchip Technologies","MCP4911-E/SN "
